product_id,product_name,category,product_price
0,Air Fryer,Travel & Camping,309.77
1,Dining Table,Personal Accessories,726.47
2,Bookshelf,Personal Accessories,606.19
3,Dumbbell Set,Home Appliances,426.4
4,Charging Dock,Travel & Camping,508.04
5,Cable Organizer,Sports & Fitness,652.18
6,Wireless Headphones,Sports & Fitness,671.29
7,Sofa Bed,Home Appliances,873.27
8,Coffee Maker,Home Decor,571.46
9,Treadmill,Gardening & Outdoor,964.84
10,Outdoor Grill,Electronics,50.38
11,Dining Table,Furniture,733.44
12,Tripod,Travel & Camping,42.07
13,Coffee Maker,Travel & Camping,251.83
14,Canoe,Office Supplies,869.88
15,Tripod,Travel & Camping,967.97
16,Car Seat Cover,Sports & Fitness,711.84
17,Gimbal,Furniture,739.4
18,Ring Light,Furniture,453.98
19,Security Camera,Sports & Fitness,556.18
20,Wall Clock,Home Decor,972.04
21,Dash Cam,Personal Accessories,336.74
22,Standing Desk,Gardening & Outdoor,982.42
23,Hammock,Personal Accessories,864.22
24,Diffuser,Electronics,903.13
25,Diffuser,Electronics,768.49
26,Toolbox,Home Decor,377.98
27,Essential Oil Diffuser,Office Supplies,989.56
28,Blender,Furniture,143.07
29,Pressure Gauge,Travel & Camping,30.62
30,Ring Light,Furniture,11.26
31,Digital Camera,Office Supplies,200.87
32,Dumbbell Set,Furniture,625.65
33,Car Air Freshener,Office Supplies,310.89
34,Pen Set,Home Appliances,345.44
35,Car Mount,Home Appliances,687.28
36,Wireless Charger,Tools & Automotive,548.56
37,Power Bank,Gardening & Outdoor,115.55
38,USB Hub,Home Appliances,331.13
39,Standing Desk,Gardening & Outdoor,836.4
40,Car Air Freshener,Home Decor,43.87
41,Throw Pillow,Tools & Automotive,863.93
42,Phone Case,Personal Accessories,160.11
43,Hammock,Personal Accessories,860.24
44,Security Camera,Tools & Automotive,169.3
45,Soundbar,Home Appliances,657.06
46,Cable Organizer,Tools & Automotive,197.81
47,Smart Thermostat,Furniture,624.3
48,Desk Lamp,Gardening & Outdoor,811.53
49,Stapler,Personal Accessories,287.98
50,Garden Hose,Office Supplies,40.89
51,Digital Camera,Electronics,555.0
52,Robotic Vacuum Cleaner,Office Supplies,149.61
53,4K UHD Monitor,Electronics,643.95
54,Tripod,Furniture,467.08
55,Diffuser,Office Supplies,286.01
56,Smartwatch,Travel & Camping,834.16
57,Dehumidifier,Tools & Automotive,212.76
58,Pop Socket,Sports & Fitness,22.22
59,Laptop Backpack,Home Appliances,637.15
60,Tripod,Home Appliances,954.05
61,Blender,Furniture,250.19
62,Headphone Stand,Tools & Automotive,990.58
63,Toolbox,Sports & Fitness,108.19
64,Gimbal,Electronics,912.46
65,Diffuser,Electronics,284.68
66,Action Camera,Home Appliances,965.83
67,Digital Camera,Tools & Automotive,319.03
68,Cable Organizer,Home Appliances,334.42
69,Headphone Stand,Office Supplies,515.25
70,Headphone Stand,Tools & Automotive,250.06
71,Ring Light,Office Supplies,371.88
72,Phone Case,Tools & Automotive,81.88
73,Wall Clock,Sports & Fitness,494.27
74,Foam Roller,Personal Accessories,497.66
75,Car Seat Cover,Furniture,360.78
76,Binoculars,Personal Accessories,243.36
77,Air Purifier,Travel & Camping,137.88
78,Calculator,Furniture,151.63
79,Handheld Garment Steamer,Furniture,188.1
80,Air Purifier,Home Decor,877.17
81,Lawn Mower,Personal Accessories,931.86
82,Drone,Home Decor,174.71
83,Car Air Freshener,Office Supplies,179.01
84,Screen Protector,Office Supplies,185.21
85,Stapler,Home Decor,592.06
86,Drone,Sports & Fitness,66.4
87,Hiking Boots,Office Supplies,231.95
88,Wall Clock,Tools & Automotive,666.91
89,Bookshelf,Home Decor,127.16
90,USB Hub,Tools & Automotive,81.27
91,Cable Organizer,Electronics,84.37
92,Sofa Bed,Travel & Camping,585.45
93,Desk Organizer,Travel & Camping,860.01
94,Ergonomic Office Chair,Personal Accessories,182.03
95,Water Bottle,Electronics,293.89
96,Ergonomic Office Chair,Sports & Fitness,553.07
97,Jack Stand,Travel & Camping,908.44
98,Car Charger,Office Supplies,990.33
99,Drone,Electronics,661.27
100,Drone,Tools & Automotive,423.08
101,Dash Cam,Home Decor,730.97
102,Foam Roller,Home Appliances,639.57
103,Pressure Gauge,Office Supplies,698.67
104,Ergonomic Office Chair,Office Supplies,519.56
105,Screen Protector,Furniture,299.88
106,Wireless Charger,Home Decor,318.56
107,Tripod,Office Supplies,53.01
108,Lawn Mower,Furniture,491.25
109,Projector,Office Supplies,710.34
110,Wall Clock,Personal Accessories,542.13
111,Electric Kettle,Furniture,890.15
112,Car Charger,Office Supplies,906.61
113,4K UHD Monitor,Personal Accessories,350.8
114,Webcam,Electronics,976.49
115,Action Camera,Home Decor,538.92
116,Handheld Garment Steamer,Tools & Automotive,100.73
117,Power Bank,Home Appliances,147.94
118,Espresso Machine,Home Decor,573.7
119,Weighted Blanket,Furniture,935.07
120,Car Charger,Personal Accessories,19.03
121,Wireless Charger,Electronics,485.19
122,Gimbal,Electronics,878.41
123,Webcam,Personal Accessories,443.12
124,Solar-Powered Garden Lights,Home Decor,603.65
125,Toaster Oven,Travel & Camping,289.89
126,Fishing Rod,Sports & Fitness,449.42
127,Canoe,Home Appliances,578.61
128,Dumbbell Set,Gardening & Outdoor,192.81
129,Action Camera,Electronics,839.36
130,Bedside Lamp,Furniture,515.13
131,Floor Mats,Tools & Automotive,796.1
132,External Hard Drive,Travel & Camping,700.44
133,Smartwatch,Home Appliances,623.28
134,Binoculars,Furniture,951.34
135,External Hard Drive,Home Decor,111.11
136,Car Mount,Home Decor,869.21
137,Folding Chair,Personal Accessories,64.97
138,Garden Hose,Tools & Automotive,145.56
139,Treadmill,Home Appliances,218.89
140,Smart Lock,Home Appliances,614.96
141,Security Camera,Home Appliances,62.87
142,Notebook,Home Appliances,720.56
143,Charging Dock,Sports & Fitness,550.66
144,Car Seat Cover,Travel & Camping,905.99
145,Pop Socket,Office Supplies,685.25
146,Pressure Washer,Home Decor,266.88
